Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.06     38.86     0.03  6042119     0.00     0.00  std::_Select1st<std::pair<int const, Promoter*> >::operator()(std::pair<int const, Promoter*> const&) const
  0.06     38.89     0.03   264861     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> > std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, Promoter*> >, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.05     38.91     0.02  9376448     0.00     0.00  r123array2x64::operator[](unsigned long)
  0.05     38.93     0.02  6171175     0.00     0.00  std::_Rb_tree_node<std::pair<int const, Promoter*> >::_M_valptr() const
  0.05     38.95     0.02  3480670     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  0.05     38.97     0.02  3252815     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_right(std::_Rb_tree_node_base*)
  0.05     38.99     0.02  3118967     0.00     0.00  std::_Select1st<std::pair<int const, int> >::operator()(std::pair<int const, int> const&) const
  0.05     39.01     0.02  3053630     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.05     39.03     0.02  1519967     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_left(std::_Rb_tree_node_base*)
  0.05     39.05     0.02  1122056     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::lower_bound(int const&)
  0.05     39.07     0.02   644023     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::end()
  0.05     39.09     0.02   367373     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, int> >, int const&)
  0.05     39.11     0.02   362204     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<int const, Promoter*> >*)
  0.05     39.13     0.02   348026     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, Promoter*> >, int const&)
  0.05     39.15     0.02   312201     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, int> > > >::construct<std::pair<int const, int>, std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::allocator<std::_Rb_tree_node<std::pair<int const, int> > >&, std::pair<int const, int>*, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.05     39.17     0.02   296942     0.00     0.00  void std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_construct_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_node<std::pair<int const, int> >*, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.05     39.19     0.02   126320     0.00     0.00  std::__cxx11::list<MutationEvent*, std::allocator<MutationEvent*> >::end()
  0.05     39.21     0.02   124013     0.00     0.00  std::__cxx11::list<MutationEvent*, std::allocator<MutationEvent*> >::begin()
  0.05     39.23     0.02    96932     0.00     0.00  ExpManager::do_mutation(int)
  0.05     39.25     0.02    79970     0.00     0.00  Threefry::Gen::roulette_random(double*, int, bool)
  0.05     39.27     0.02    21699     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_get_insert_unique_pos(int const&)
  0.05     39.29     0.02     5847     0.00     0.00  Organism::~Organism()
  0.05     39.31     0.02     5447     0.00     0.00  ExpManager::compute_protein(int)
  0.05     39.33     0.02     1001     0.00     0.00  Stats::compute_average()
  0.04     39.34     0.02  5484953     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_value(std::_Rb_tree_node<std::pair<int const, Promoter*> > const*)
  0.04     39.36     0.02  3210875     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.04     39.37     0.02  1194035     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_begin()
  0.04     39.39     0.02  1133341     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::lower_bound(int const&)
  0.04     39.40     0.02   354600     0.00     0.00  std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::lower_bound(int const&)
  0.04     39.42     0.02   284837     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<int const, int> > const&)
  0.04     39.43     0.02   105118     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<Organism*>, std::is_move_assignable<Organism*> >::value, void>::type std::swap<Organism*>(Organism*&, Organism*&)
  0.02     39.44     0.01  6122802     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_addr() const
  0.02     39.45     0.01  4283757     0.00     0.00  Threefry::Gen::random()
  0.02     39.46     0.01  3973318     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  0.02     39.47     0.01  3021625     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.02     39.48     0.01  2825376     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_addr()
  0.02     39.49     0.01  2816684     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_ptr()
  0.02     39.50     0.01  2489348     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_key(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.02     39.51     0.01  1820350     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.02     39.52     0.01  1358260     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_M_head(std::_Tuple_impl<0ul, int const&>&)
  0.02     39.53     0.01  1226104     0.00     0.00  std::_Head_base<0ul, int const&, false>::_Head_base(int const&)
  0.02     39.54     0.01  1156369     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::end()
  0.02     39.55     0.01   990862     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_Node_allocator()
  0.02     39.56     0.01   856395     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr()
  0.02     39.57     0.01   843635     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr()
  0.02     39.58     0.01   841506     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::key_comp() const
  0.02     39.59     0.01   832642     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::key_comp() const
  0.02     39.60     0.01   684086     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node_base* const&, std::_Rb_tree_node_base*&)
  0.02     39.61     0.01   645493     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(std::_Tuple_impl<0ul, int const&>&&)
  0.02     39.62     0.01   583010     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> >::operator==(std::_Rb_tree_iterator<std::pair<int const, int> > const&) const
  0.02     39.63     0.01   528365     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::size() const
  0.02     39.64     0.01   520878     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.02     39.65     0.01   493773     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, int> >*, std::_Rb_tree_node_base*, int const&)
  0.02     39.66     0.01   349631     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> >::operator*() const
  0.02     39.67     0.01   315232     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::operator!=(std::_Rb_tree_iterator<std::pair<int const, Promoter*> > const&) const
  0.02     39.68     0.01   315036     0.00     0.00  std::remove_reference<Organism*&>::type&& std::move<Organism*&>(Organism*&)
  0.02     39.69     0.01   312050     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, int> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<int const, int> > >&, unsigned long)
  0.02     39.70     0.01   296798     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, Promoter*> > >::allocate(unsigned long, void const*)
  0.02     39.71     0.01   278427     0.00     0.00  std::_Rb_tree_node<std::pair<int const, Promoter*> >* std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_create_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.02     39.72     0.01   274002     0.00     0.00  Promoter::Promoter(int, int)
  0.02     39.73     0.01   262933     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_addr()
  0.02     39.74     0.01   255598     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_node()
  0.02     39.75     0.01   244756     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::_M_clear()
  0.02     39.76     0.01   224134     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.02     39.77     0.01   184791     0.00     0.00  __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.02     39.78     0.01   175853     0.00     0.00  std::shared_ptr<Organism>::operator=(std::shared_ptr<Organism> const&)
  0.02     39.79     0.01   174469     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.02     39.80     0.01   150389     0.00     0.00  std::unique_ptr<Threefry, std::default_delete<Threefry> >::get() const
  0.02     39.81     0.01   117535     0.00     0.00  DnaMutator::~DnaMutator()
  0.02     39.82     0.01   110075     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::find(int const&)
  0.02     39.83     0.01   103439     0.00     0.00  void std::advance<std::_Rb_tree_iterator<std::pair<int const, Promoter*> >, long>(std::_Rb_tree_iterator<std::pair<int const, Promoter*> >&, long)
  0.02     39.84     0.01   102303     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::swap(std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>&)
  0.02     39.85     0.01   102072     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> > std::next<std::_Rb_tree_iterator<std::pair<int const, Promoter*> > >(std::_Rb_tree_iterator<std::pair<int const, Promoter*> >, std::iterator_traits<std::_Rb_tree_iterator<std::pair<int const, Promoter*> > >::difference_type)
  0.02     39.86     0.01    98738     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_erase_aux(std::_Rb_tree_const_iterator<std::pair<int const, Promoter*> >)
  0.02     39.87     0.01    87036     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.02     39.88     0.01    83017     0.00     0.00  __gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > >::operator++()
  0.02     39.89     0.01    40020     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::begin()
  0.02     39.90     0.01    39861     0.00     0.00  std::allocator<Organism>::~allocator()
  0.02     39.91     0.01    22149     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.02     39.92     0.01    20609     0.00     0.00  Dna::codon_at(int)
  0.02     39.93     0.01    17530     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, int> >*)
  0.02     39.94     0.01    15744     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.02     39.95     0.01    14928     0.00     0.00  std::_Vector_base<RNA*, std::allocator<RNA*> >::_M_deallocate(RNA**, unsigned long)
  0.02     39.96     0.01     8686     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<int const, int> > >::allocator()
  0.02     39.97     0.01     7942     0.00     0.00  __gnu_cxx::__aligned_buffer<Organism>::__aligned_buffer()
  0.02     39.98     0.01     6425     0.00     0.00  std::allocator<Organism>::allocator()
  0.02     39.99     0.01     5631     0.00     0.00  Protein::Protein(int, int, int, double)
  0.02     40.00     0.01     5205     0.00     0.00  ExpManager::translate_protein(int, double)
  0.01     40.01     0.01 13939020     0.00     0.00  Dna::length() const
  0.01     40.01     0.01  3046725     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.01     40.02     0.01   654231     0.00     0.00  std::vector<Protein*, std::allocator<Protein*> >::operator[](unsigned long)
  0.01     40.02     0.01     6574     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<std::allocator<Organism>, ExpManager*, std::shared_ptr<Organism>&>(std::_Sp_make_shared_tag, std::allocator<Organism> const&, ExpManager*&&, std::shared_ptr<Organism>&)
  0.01     40.03     0.01                             Dna::Dna(int)
  0.01     40.03     0.01                             std::enable_if<std::__and_<std::is_move_constructible<Threefry*>, std::is_move_assignable<Threefry*> >::value, void>::type std::swap<Threefry*>(Threefry*&, Threefry*&)
  0.00     40.03     0.00  4097366     0.00     0.00  Threefry::Gen::random(unsigned int)
  0.00     40.03     0.00  3480670     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00     40.03     0.00  3480670     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.00     40.03     0.00  3192585     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr() const
  0.00     40.03     0.00  3181216     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr() const
  0.00     40.03     0.00  3176169     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  0.00     40.03     0.00  2953374     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  0.00     40.03     0.00  2953374     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value(std::_Rb_tree_node<int> const*)
  0.00     40.03     0.00  2783261     0.00     0.00  std::_Rb_tree_node<std::pair<int const, Promoter*> >::_M_valptr()
  0.00     40.03     0.00  2479641     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_value(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.00     40.03     0.00  1803039     0.00     0.00  operator new(unsigned long, void*)
  0.00     40.03     0.00  1377113     0.00     0.00  std::_Head_base<0ul, int const&, false>::_M_head(std::_Head_base<0ul, int const&, false>&)
  0.00     40.03     0.00  1257346     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_end()
  0.00     40.03     0.00  1022392     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00     40.03     0.00  1002409     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00     40.03     0.00   955344     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_get_Node_allocator()
  0.00     40.03     0.00   854849     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr()
  0.00     40.03     0.00   852031     0.00     0.00  std::_Rb_tree_node_base::_Rb_tree_node_base()
  0.00     40.03     0.00   741834     0.00     0.00  DnaMutator::hasMutate()
  0.00     40.03     0.00   709746     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00     40.03     0.00   705951     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00     40.03     0.00   691413     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_rightmost()
  0.00     40.03     0.00   688836     0.00     0.00  int const& std::__get_helper<0ul, int const&>(std::_Tuple_impl<0ul, int const&>&)
  0.00     40.03     0.00   685633     0.00     0.00  std::tuple_element<0ul, std::tuple<int const&> >::type& std::get<0ul, int const&>(std::tuple<int const&>&)
  0.00     40.03     0.00   669281     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00     40.03     0.00   664911     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00     40.03     0.00   659277     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_rightmost()
  0.00     40.03     0.00   635815     0.00     0.00  std::tuple<int const&>::tuple(std::tuple<int const&>&&)
  0.00     40.03     0.00   540545     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(int const&)
  0.00     40.03     0.00   534925     0.00     0.00  std::tuple<int const&>::tuple<void, true>(int const&)
  0.00     40.03     0.00   530584     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_begin()
  0.00     40.03     0.00   523092     0.00     0.00  Threefry::Gen::~Gen()
  0.00     40.03     0.00   520062     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.00     40.03     0.00   511196     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00     40.03     0.00   511196     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00     40.03     0.00   511196     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr()
  0.00     40.03     0.00   509564     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
