Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.17      5.85     0.01    48877     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, int> >*, std::_Rb_tree_node_base*, int const&)
  0.17      5.86     0.01    39230     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, Promoter*> >, int const&)
  0.17      5.87     0.01    11186     0.00     0.00  std::__cxx11::_List_base<MutationEvent*, std::allocator<MutationEvent*> >::_List_impl::_List_impl()
  0.17      5.88     0.01     6976     0.00     0.00  std::allocator_traits<std::allocator<RNA*> >::deallocate(std::allocator<RNA*>&, RNA**, unsigned long)
  0.17      5.89     0.01     6975     0.00     0.00  Organism::~Organism()
  0.17      5.90     0.01     3104     0.00     0.00  ExpManager::translate_protein(int, double)
  0.17      5.91     0.01     2788     0.00     0.00  ExpManager::start_protein(int)
  0.17      5.92     0.01     1818     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.17      5.93     0.01      900     0.00     0.00  Gaussian::compute_y(double) const
  0.17      5.94     0.01        1     0.01     0.22  _GLOBAL__sub_I__ZN10ExpManagerC2Eiiididii
  0.08      5.95     0.01  1527348     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::operator*() const
  0.08      5.95     0.01   113817     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      5.95     0.00  8386480     0.00     0.00  r123array2x64::operator[](unsigned long)
  0.00      5.95     0.00  4812679     0.00     0.00  std::vector<RNA*, std::allocator<RNA*> >::operator[](unsigned long)
  0.00      5.95     0.00  3480670     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      5.95     0.00  3480670     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.00      5.95     0.00  3480670     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  0.00      5.95     0.00  3213991     0.00     0.00  std::_Select1st<std::pair<int const, Promoter*> >::operator()(std::pair<int const, Promoter*> const&) const
  0.00      5.95     0.00  3207439     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_addr() const
  0.00      5.95     0.00  3176169     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  0.00      5.95     0.00  3141406     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_key(std::_Rb_tree_node<std::pair<int const, Promoter*> > const*)
  0.00      5.95     0.00  2953374     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  0.00      5.95     0.00  2953374     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value(std::_Rb_tree_node<int> const*)
  0.00      5.95     0.00  1959820     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      5.95     0.00  1685230     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_ptr()
  0.00      5.95     0.00  1679924     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, Promoter*> >::_M_addr()
  0.00      5.95     0.00  1679558     0.00     0.00  std::_Rb_tree_node<std::pair<int const, Promoter*> >::_M_valptr()
  0.00      5.95     0.00  1529271     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      5.95     0.00  1325256     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      5.95     0.00  1022392     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00      5.95     0.00   728661     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::end()
  0.00      5.95     0.00   728315     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_begin()
  0.00      5.95     0.00   713786     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::lower_bound(int const&)
  0.00      5.95     0.00   711934     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::operator[](int const&)
  0.00      5.95     0.00   711062     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::lower_bound(int const&)
  0.00      5.95     0.00   680702     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.95     0.00   629223     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      5.95     0.00   520878     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      5.95     0.00   520062     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.00      5.95     0.00   511196     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      5.95     0.00   511196     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      5.95     0.00   511196     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr()
  0.00      5.95     0.00   509564     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      5.95     0.00   509564     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value(std::_Rb_tree_node_base const*)
  0.00      5.95     0.00   415374     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      5.95     0.00   411648     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.00      5.95     0.00   407580     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      5.95     0.00   334370     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      5.95     0.00   319659     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr() const
  0.00      5.95     0.00   316272     0.00     0.00  std::_Select1st<std::pair<int const, int> >::operator()(std::pair<int const, int> const&) const
  0.00      5.95     0.00   315199     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_get_Node_allocator()
  0.00      5.95     0.00   314338     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      5.95     0.00   314176     0.00     0.00  std::remove_reference<Organism*&>::type&& std::move<Organism*&>(Organism*&)
  0.00      5.95     0.00   313628     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_Node_allocator()
  0.00      5.95     0.00   312037     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr() const
  0.00      5.95     0.00   308916     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr() const
  0.00      5.95     0.00   288401     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left(std::_Rb_tree_node_base*)
  0.00      5.95     0.00   284587     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      5.95     0.00   284573     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      5.95     0.00   280129     0.00     0.00  __gthread_active_p()
  0.00      5.95     0.00   264464     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.00      5.95     0.00   259274     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_value(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.00      5.95     0.00   255598     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.00      5.95     0.00   255598     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::destroy<int>(int*)
  0.00      5.95     0.00   255598     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::allocate(unsigned long, void const*)
  0.00      5.95     0.00   255598     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      5.95     0.00   255598     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::max_size() const
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::operator()<int const&>(int const&) const
  0.00      5.95     0.00   255598     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::deallocate(std::allocator<std::_Rb_tree_node<int> >&, std::_Rb_tree_node<int>*, unsigned long)
  0.00      5.95     0.00   255598     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::destroy<int>(std::allocator<std::_Rb_tree_node<int> >&, int*)
  0.00      5.95     0.00   255598     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::allocate(std::allocator<std::_Rb_tree_node<int> >&, unsigned long)
  0.00      5.95     0.00   255598     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::construct<int, int const&>(std::allocator<std::_Rb_tree_node<int> >&, int*, int const&)
  0.00      5.95     0.00   255598     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&)
  0.00      5.95     0.00   255598     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>, bool, true>(std::_Rb_tree_iterator<int>&&, bool&&)
  0.00      5.95     0.00   255598     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<int>, bool>::pair<std::_Rb_tree_iterator<int>&, bool&, true>(std::_Rb_tree_iterator<int>&, bool&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_<int const&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, int const&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::_Alloc_node(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_node()
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_put_node(std::_Rb_tree_node<int>*)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_drop_node(std::_Rb_tree_node<int>*)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_destroy_node(std::_Rb_tree_node<int>*)
  0.00      5.95     0.00   255598     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_unique<int const&>(int const&)
  0.00      5.95     0.00   255598     0.00     0.00  void std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_construct_node<int const&>(std::_Rb_tree_node<int>*, int const&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree_node<int>*& std::forward<std::_Rb_tree_node<int>*&>(std::remove_reference<std::_Rb_tree_node<int>*&>::type&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree_iterator<int>& std::forward<std::_Rb_tree_iterator<int>&>(std::remove_reference<std::_Rb_tree_iterator<int>&>::type&)
  0.00      5.95     0.00   255598     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      5.95     0.00   255598     0.00     0.00  std::_Rb_tree_iterator<int>&& std::forward<std::_Rb_tree_iterator<int> >(std::remove_reference<std::_Rb_tree_iterator<int> >::type&)
  0.00      5.95     0.00   255598     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      5.95     0.00   236914     0.00     0.00  __gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > >::base() const
  0.00      5.95     0.00   214460     0.00     0.00  std::fabs(float)
  0.00      5.95     0.00   213859     0.00     0.00  std::__shared_ptr<Organism, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      5.95     0.00   213713     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      5.95     0.00   210074     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      5.95     0.00   208990     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      5.95     0.00   208833     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      5.95     0.00   201330     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr()
  0.00      5.95     0.00   198568     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr()
  0.00      5.95     0.00   198127     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr()
  0.00      5.95     0.00   191272     0.00     0.00  __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.00      5.95     0.00   191246     0.00     0.00  __gnu_cxx::__exchange_and_add(int volatile*, int)
  0.00      5.95     0.00   190874     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      5.95     0.00   184295     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      5.95     0.00   164862     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::size() const
  0.00      5.95     0.00   160290     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_M_head(std::_Tuple_impl<0ul, int const&>&)
  0.00      5.95     0.00   154109     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::operator!=(std::_Rb_tree_iterator<std::pair<int const, Promoter*> > const&) const
  0.00      5.95     0.00   149290     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, Promoter*> >::operator++()
  0.00      5.95     0.00   136590     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_end()
  0.00      5.95     0.00   125637     0.00     0.00  std::map<int, Promoter*, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::size() const
  0.00      5.95     0.00   121609     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, Promoter*> >*)
  0.00      5.95     0.00   120381     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, int> >*)
  0.00      5.95     0.00   120131     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      5.95     0.00   119910     0.00     0.00  std::_Rb_tree<int, std::pair<int const, Promoter*>, std::_Select1st<std::pair<int const, Promoter*> >, std::less<int>, std::allocator<std::pair<int const, Promoter*> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, Promoter*> >*)
  0.00      5.95     0.00   118530     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, Promoter*> > >::destroy<std::pair<int const, Promoter*> >(std::pair<int const, Promoter*>*)
  0.00      5.95     0.00   118454     0.00     0.00  bool __gnu_cxx::operator!=<RNA**, std::vector<RNA*, std::allocator<RNA*> > >(__gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > > const&, __gnu_cxx::__normal_iterator<RNA**, std::vector<RNA*, std::allocator<RNA*> > > const&)
  0.00      5.95     0.00   118381     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, int> >*)
  0.00      5.95     0.00   118277     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, int> > >::destroy<std::pair<int const, int> >(std::pair<int const, int>*)
  0.00      5.95     0.00   118248     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, int> > > >::destroy<std::pair<int const, int> >(std::allocator<std::_Rb_tree_node<std::pair<int const, int> > >&, std::pair<int const, int>*)
  0.00      5.95     0.00   118030     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, Promoter*> > > >::destroy<std::pair<int const, Promoter*> >(std::allocator<std::_Rb_tree_node<std::pair<int const, Promoter*> > >&, std::pair<int const, Promoter*>*)
  0.00      5.95     0.00   117940     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, int> > >::deallocate(std::_Rb_tree_node<std::pair<int const, int> >*, unsigned long)
  0.00      5.95     0.00   117887     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      5.95     0.00   117852     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, Promoter*> > >::deallocate(std::_Rb_tree_node<std::pair<int const, Promoter*> >*, unsigned long)
  0.00      5.95     0.00   117852     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_put_node(std::_Rb_tree_node<std::pair<int const, int> >*)
